FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y
23546,777,468,591,632
23547,777,468,573,608
23548,777,468,611,630
23549,777,468,599,583
23550,777,468,603,576
23551,777,468,609,575
23552,777,468,608,565
23553,777,468,607,557
23554,777,468,580,534
23555,777,468,557,518
23556,777,468,536,505
23557,777,468,505,493
23558,777,468,468,480
23559,777,468,437,471
23560,777,468,411,457
23561,777,468,387,444
23562,777,468,368,434
23563,777,468,349,424
23564,777,468,333,415
23565,777,468,321,408
23566,777,468,310,402
23567,777,468,295,395
23568,777,468,283,394
23569,777,468,271,394
23570,777,468,261,395
23571,716,433,255,401
23572,745,449,228,401
23573,779,467,223,408
23574,824,505,226,414
23575,865,534,245,427
23576,900,551,269,445
23577,941,567,339,479
23578,1008,585,422,515
23579,1090,618,512,543
23580,1155,645,617,567
23581,1209,666,709,584
23582,1255,684,793,604
23583,1295,699,896,624
23584,1330,711,1010,650
23585,1360,722,1089,665
23586,1387,731,1151,672
23587,1412,739,1206,682
23588,1436,745,1270,697
23589,1392,735,1392,735
23590,1408,757,1408,757
23591,1400,737,1370,855
23592,1375,754,1336,913
23593,1321,924,1346,818
23594,1325,895,1325,895
23595,1396,868,1396,868
23596,1515,793,1340,902
23597,1549,740,1350,904
23598,1573,702,1355,900
23599,1586,673,1381,884
23600,1594,652,1405,872
23601,1602,633,1427,864
23602,1608,620,1452,846
23603,1609,634,1475,824
23604,1614,612,1500,784
23605,1610,559,1505,763
23606,1603,551,1523,734
23607,1597,547,1541,707
23608,1623,558,1553,689
23609,1588,545,1562,657
23610,1558,511,1573,628
23611,1525,486,1597,604
23612,1489,474,1617,588
23613,1453,469,1639,566
23614,1422,465,1627,554
23615,1390,464,1598,552
23616,1343,463,1561,545
23617,1295,467,1485,524
23618,1338,482,1338,482
23619,1152,545,1347,472
23620,1129,666,1295,455
23621,1156,751,1259,445
23622,1198,772,1226,438
23623,1231,779,1190,437
23624,1257,786,1131,442
23625,1280,793,1085,454
23626,1299,799,1045,467
23627,1316,805,1007,481
23628,1329,805,977,493
23629,1343,806,947,506
23630,1361,816,912,524
23631,1378,824,857,546
23632,1406,837,812,563
23633,1426,846,772,576
23634,1445,854,740,588
23635,1458,860,705,597
23636,1478,865,678,606
23637,1495,873,653,614
23638,1512,882,630,621
23639,1526,890,610,627
23640,1536,896,586,632
23641,1545,898,567,631
23642,1555,901,536,637
23643,1556,900,523,647
23644,1571,900,530,659
23645,1568,903,547,669
23646,1561,905,571,680
23647,1552,909,606,693
23648,1549,906,638,703
23649,1545,904,671,713
23650,1540,905,711,724
23651,1533,907,765,734
23652,1528,908,809,744
23653,1523,909,846,753
23654,1521,908,883,761
23655,1521,908,908,769
23656,1519,909,935,777
23657,1521,910,978,787
23658,1520,913,1038,801
23659,1522,915,1101,815
23660,1523,917,1161,830
23661,1523,918,1205,836
23662,1525,922,1252,841
23663,1526,921,1286,845
23664,1535,923,1314,852
23665,1539,925,1342,860
23666,1541,926,1370,866
23667,1546,926,1399,873
23668,1552,925,1425,874
23669,1557,925,1442,868
23670,1561,925,1460,861
23671,1566,926,1484,855
23672,1570,927,1511,847
23673,1573,928,1536,837
23674,1580,924,1560,827
23675,1577,929,1578,821
23676,1577,931,1593,816
23677,1577,932,1606,813
23678,1576,934,1614,813
23679,1575,936,1635,808
23680,1575,939,1648,814
23681,1573,942,1649,820
23682,1573,945,1647,830
23683,1558,945,1642,835
23684,1554,948,1635,840
23685,1544,949,1629,850
23686,1534,949,1625,850
23687,1521,948,1618,855
23688,1517,948,1597,876
23689,1562,902,1562,902
23690,1568,893,1496,944
23691,1561,906,1487,941
23692,1561,915,1475,934
23693,1564,918,1467,932
23694,1566,921,1449,926
23695,1562,921,1434,923
23696,1558,924,1416,920
23697,1545,922,1397,916
23698,1522,915,1373,910
23699,1469,893,1320,886
23700,1383,861,1271,864
23701,1297,829,1180,851
23702,1237,798,1124,856
23703,1187,776,1139,877
23704,1139,761,1163,895
23705,1107,745,1179,902
23706,1068,740,1191,906
23707,1037,765,1208,912
23708,1043,787,1218,912
23709,1054,807,1232,915
23710,1079,833,1248,918
23711,1105,846,1337,890
23712,1144,855,1411,822
23713,1198,854,1436,755
23714,1291,820,1451,710
23715,1377,769,1480,648
23716,1414,721,1527,603
23717,1453,683,1569,574
23718,1468,665,1582,554
23719,1498,651,1590,535
23720,1510,646,1584,516
23721,1524,651,1566,505
23722,1533,655,1540,497
23723,1541,659,1522,493
23724,1548,664,1493,490
23725,1554,668,1468,488
23726,1559,673,1451,488
23727,1573,677,1409,487
23728,1560,680,1357,515
23729,1537,684,1303,566
23730,1499,686,1257,622
23731,1474,693,1220,665
23732,1434,703,1185,700
23733,1377,719,1158,724
23734,1302,737,1130,743
23735,1129,750,1129,750
23736,1108,752,1108,752
23737,1056,741,1056,741
23738,1018,730,1018,730
23739,978,719,978,719
23740,943,711,943,711
23741,901,702,944,525
23742,865,695,957,524
23743,834,691,969,525
23744,807,687,979,524
23745,783,685,980,522
23746,761,683,982,522
23747,741,683,985,523
23748,724,683,988,524
23749,707,683,988,525
23750,691,684,990,526
23751,678,685,992,528
23752,664,687,994,532
23753,653,690,1011,537
23754,642,692,1028,545
23755,632,695,1056,560
23756,622,698,1096,593
23757,611,700,1130,623
23758,591,696,1159,648
23759,571,695,1183,668
23760,546,699,1223,686
23761,535,705,1264,702
23762,532,716,1295,714
23763,545,722,1328,727
23764,577,737,1355,739
23765,609,751,1381,750
23766,662,765,1406,760
23767,719,777,1433,770
23768,785,784,1457,780
23769,850,790,1480,789
23770,910,796,1495,795
23771,964,807,1506,787
23772,1009,817,1517,785
23773,1054,827,1516,789
23774,1108,832,1508,792
23775,1152,839,1501,794
23776,1197,842,1500,790
23777,1260,836,1500,786
23778,1325,815,1497,768
23779,1484,724,1385,785
23780,1450,666,1413,764
23781,1394,623,1432,749
23782,1343,603,1452,739
23783,1301,591,1471,727
23784,1266,581,1478,713
23785,1241,574,1452,709
23786,1223,570,1408,725
23787,1205,568,1378,750
23788,1193,568,1346,785
23789,1181,570,1325,812
23790,1170,572,1304,833
23791,1158,574,1282,854
23792,1151,576,1263,872
23793,1144,579,1245,888
23794,1139,582,1234,903
23795,1134,586,1219,922
23796,1137,590,1216,932
23797,1123,592,1217,937
23798,1103,595,1217,936
23799,1070,610,1223,944
23800,1037,637,1228,950
23801,1009,664,1231,950
23802,986,690,1235,951
23803,966,709,1236,953
23804,948,722,1237,952
23805,928,731,1251,954
23806,911,738,1271,962
23807,893,745,1275,959
23808,868,755,1294,956
23809,841,763,1311,955
23810,811,772,1326,955
23811,788,781,1338,956
23812,764,791,1359,955
23813,744,801,1385,950
23814,724,811,1405,947
23815,707,822,1419,945
23816,692,833,1431,944
23817,677,846,1438,946
23818,669,859,1446,946
23819,682,873,1453,947
23820,691,877,1457,948
23821,690,878,1468,942
23822,694,879,1458,940
23823,698,880,1441,938
23824,704,882,1421,939
23825,710,883,1405,940
23826,716,885,1375,943
23827,723,888,1354,944
23828,727,890,1331,941
23829,733,893,1317,942
23830,735,896,1293,945
23831,737,899,1270,947
23832,745,904,1221,944
23833,750,908,1153,937
23834,828,917,1099,931
23835,737,906,1037,923
23836,774,909,994,917
23837,735,904,977,908
23838,752,879,959,901
23839,767,848,946,897
23840,785,807,937,895
23841,797,774,931,891
23842,817,739,882,877
23843,848,709,842,864
23844,893,695,834,857
23845,935,689,814,815
23846,968,685,851,768
23847,1012,666,913,729
23848,973,697,973,697
23849,1032,672,1128,643
23850,1076,664,1143,618
23851,1102,669,1113,601
23852,1150,653,1073,590
23853,1130,640,1017,581
23854,1051,605,1051,605
23855,1062,601,873,527
23856,1019,580,786,515
23857,893,522,644,543
23858,814,495,592,582
23859,740,493,613,647
23860,684,497,658,685
23861,640,502,713,712
23862,602,507,762,735
23863,569,512,805,751
23864,539,515,846,767
23865,505,519,881,780
23866,481,536,908,790
23867,482,547,935,799
23868,514,568,959,807
23869,545,587,981,814
23870,584,606,999,821
23871,618,621,1016,828
23872,653,640,1031,834
23873,702,665,1045,840
23874,738,691,1058,845
23875,775,717,1070,850
23876,814,744,1094,851
23877,894,789,1121,855
23878,1000,822,1154,868
23879,1101,829,1220,898
23880,1166,829,1273,909
23881,1265,859,1265,859
23882,1292,847,1292,847
23883,1317,838,1345,728
23884,1275,667,1275,667
23885,1217,630,1217,630
23886,1171,611,1171,611
23887,1123,596,1123,596
23888,1070,587,1070,587
23889,1191,647,1009,589
23890,1122,603,942,580
23891,1059,579,891,646
23892,1011,582,903,711
23893,979,591,947,755
23894,907,629,998,788
23895,866,667,1044,803
23896,829,704,1089,812
23897,825,741,1130,821
23898,861,764,1164,827
23899,914,780,1195,834
23900,1010,804,1248,837
23901,1098,815,1339,863
23902,1172,807,1425,855
23903,1239,794,1494,808
23904,1296,786,1544,763
23905,1373,766,1577,728
23906,1433,741,1601,700
23907,1488,709,1615,689
23908,1514,685,1615,689
23909,1524,664,1615,689
23910,1528,651,1615,689
23911,1529,643,1615,689
23912,1536,645,1615,689
23913,1537,600,1615,689
23914,1499,599,1615,689
23915,1490,602,1615,689
23916,1476,605,1615,689
23917,1444,615,1615,689
23918,1421,623,1615,689
23919,1401,631,1615,689
23920,1382,639,1615,689
23921,1366,646,1615,689
23922,1350,654,1615,689
23923,1336,661,1615,689
23924,1324,667,1615,689
23925,1313,674,1615,689
23926,1303,680,1615,689
23927,1299,680,1615,689
23928,1264,664,1615,689
23929,1243,652,1615,689
23930,1218,635,1615,689
23931,1204,626,1615,689
23932,1189,614,1615,689
23933,1160,583,1615,689
23934,1146,573,1615,689
23935,1122,556,1615,689
23936,1106,547,1615,689
23937,1093,536,1615,689
23938,1075,527,1615,689
23939,1060,522,1615,689
23940,1047,518,1615,689
23941,1023,500,1615,689
23942,1042,474,1615,689
23943,1073,455,1615,689
23944,1102,440,1615,689
23945,1145,427,1615,689
23946,1075,393,1615,689
23947,1146,358,1615,689
23948,1132,353,1615,689
23949,1098,358,1615,689
23950,1001,391,1615,689
23951,886,414,1615,689
23952,790,457,1615,689
23953,769,494,1615,689
23954,793,523,1615,689
23955,816,534,1615,689
23956,837,545,1615,689
23957,884,573,1615,689
23958,936,603,1615,689
23959,1075,672,1615,689
23960,1081,658,1206,754
23961,1138,671,1222,770
23962,1194,679,1243,788
23963,1239,683,1262,805
23964,1276,685,1275,819
23965,1319,678,1285,830
23966,1361,675,1291,836
23967,1391,677,1292,841
23968,1435,684,1295,847
23969,1449,688,1298,851
23970,1473,707,1298,855
23971,1486,733,1298,860
23972,1467,761,1299,865
23973,1431,786,1300,871
23974,1408,788,1301,877
23975,1384,794,1302,884
23976,1365,798,1301,890
23977,1336,804,1300,896
23978,1303,811,1299,901
23979,1255,822,1298,906
23980,1215,831,1299,910
23981,1176,838,1298,915
23982,1144,836,1298,919
23983,1132,833,1297,923
23984,1119,836,1297,927
23985,1125,837,1295,932
23986,1138,845,1295,936
23987,1148,855,1295,941
23988,1152,863,1294,945
23989,1159,870,1294,950
23990,1172,886,1293,955
23991,1208,898,1295,958
23992,1220,904,1306,958
23993,1239,903,1327,956
23994,1247,899,1341,957
23995,1268,896,1346,957
23996,1288,896,1347,955
23997,1315,892,1345,952
23998,1341,890,1340,951
23999,1363,888,1334,949
24000,1380,888,1328,948
24001,1396,889,1324,947
24002,1415,890,1315,947
24003,1441,887,1308,946
24004,1459,890,1299,944
24005,1465,887,1293,944
24006,1487,891,1309,946
24007,1475,895,1278,942
24008,1463,894,1266,943
24009,1440,901,1257,944
24010,1428,904,1248,945
24011,1339,923,1339,923
24012,1320,926,1320,926
24013,1310,925,1310,925
24014,1235,954,1335,915
24015,1226,961,1313,917
24016,1227,958,1292,915
24017,1239,951,1280,913
24018,1272,908,1274,914
24019,1279,913,1279,913
24020,1298,898,1298,898
24021,1382,854,1287,892
24022,1388,841,1326,854
24023,1424,755,1363,806
24024,1361,728,1361,797
24025,1278,668,1278,668
24026,1262,650,1227,574
24027,1251,617,1223,538
24028,1252,596,1221,520
24029,1229,565,1245,520
24030,1229,565,1252,524
24031,1264,523,1264,523
24032,1277,524,1277,524
24033,1292,525,1292,525
24034,1305,528,1305,528
24035,1316,528,1558,778
24036,1323,528,1573,798
24037,1329,527,1576,819
24038,1338,528,1572,832
24039,1350,531,1570,839
24040,1367,550,1565,847
24041,1385,582,1560,853
24042,1397,609,1546,859
24043,1410,635,1534,858
24044,1421,656,1512,856
24045,1432,675,1484,855
24046,1442,692,1459,851
24047,1452,706,1440,846
24048,1461,719,1438,841
24049,1471,731,1414,832
24050,1486,742,1441,809
24051,1506,752,1444,807
24052,1566,788,1476,775
24053,1554,801,1504,760
24054,1589,884,1555,785
24055,1560,885,1579,804
24056,1489,871,1614,837
24057,1411,857,1575,838
24058,1352,850,1521,820
24059,1320,846,1445,810
24060,1371,803,1747,804
24061,1342,799,1746,811
24062,1328,689,1745,819
24063,1359,636,1745,821
24064,1329,672,1745,828
24065,1333,669,1745,820
24066,1333,677,1496,509
24067,1342,675,1527,500
24068,1368,673,1541,487
24069,1397,674,1541,479
24070,1418,678,1551,461
24071,1435,681,1543,456
24072,1453,683,1536,454
24073,1479,684,1530,453
24074,1507,681,1525,453
24075,1532,677,1523,454
24076,1551,676,1522,458
24077,1565,674,1522,462
24078,1578,672,1521,466
24079,1589,670,1521,469
24080,1598,669,1519,472
24081,1605,670,1506,473
24082,1612,671,1496,478
24083,1618,673,1480,485
24084,1625,673,1462,493
24085,1630,680,1447,501
24086,1640,666,1436,509
24087,1635,658,1424,517
24088,1619,655,1413,525
24089,1605,662,1405,532
24090,1587,667,1396,539
24091,1555,681,1388,546
24092,1530,702,1381,554
24093,1506,726,1369,559
24094,1491,748,1355,563
24095,1487,759,1341,568
24096,1474,778,1319,574
24097,1481,783,1290,580
24098,1490,786,1261,585
24099,1487,771,1238,589
24100,1470,755,1223,592
24101,1462,750,1192,588
24102,1420,728,1177,584
24103,1372,703,1178,583
24104,1330,681,1182,584
24105,1269,655,1192,578
24106,1219,637,1232,573
24107,1175,627,1299,584
24108,1135,622,1350,595
24109,1104,627,1402,619
24110,1089,632,1446,645
24111,1068,628,1498,687
24112,1081,633,1531,725
24113,1125,657,1551,754
24114,1216,702,1565,774
24115,1279,733,1558,800
24116,1338,757,1546,811
24117,1384,772,1538,818
24118,1426,783,1521,842
24119,1459,795,1488,870
24120,1491,801,1461,889
24121,1524,799,1440,901
24122,1544,796,1421,909
24123,1564,794,1405,915
24124,1583,791,1378,919
24125,1588,792,1349,920
24126,1614,780,1327,920
24127,1593,776,1312,921
24128,1581,783,1296,916
24129,1534,809,1282,909
24130,1471,854,1237,878
24131,1389,873,1172,832
24132,1290,849,1095,778
24133,1185,793,1042,748
24134,1118,739,1118,739
