VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece
1-14,display,6567,6613,4,825.88,13.0,10.98,598,505,93
1-14,display,6479,6500,4,403.94,7.0,10.81,147,227,-80
1-14,display,6360,6470,4,881.66,12.51,12.84,1376,1412,-36
1-14,display,2265,2404,4,1225.58,23.82,14.82,3311,2060,1251
1-14,display,3530,3555,4,950.2,16.32,9.84,408,246,162
1-14,normal,25055,25100,5,6253.32,14.64,12.76,659,574,85
1-14,normal,2089,2116,5,751.41,23.41,11.37,632,307,325
1-14,normal,2605,2644,5,609.11,11.41,18.03,445,703,-258
1-14,normal,25736,25776,5,3015.41,21.65,14.3,866,572,294
1-14,normal,2177,2221,5,786.79,24.77,15.55,1090,684,406
1-14,normal,10223,10275,5,1089.71,9.85,13.5,512,702,-190
1-14,normal,1381,1388,5,1119.01,28.71,45.57,201,319,-118
1-14,normal,1178,1354,5,2244.5,40.63,41.36,7151,7279,-128
1-14,normal,27616,27670,5,3024.06,20.69,9.44,1117,510,607
1-14,normal,27911,27957,5,4824.27,7.13,21.85,328,1005,-677
1-14,normal,24505,24537,5,998.25,11.69,15.72,374,503,-129
1-14,normal,1130,1165,5,3377.62,38.2,44.97,1337,1574,-237
1-14,normal,584,690,5,629.47,15.8,18.78,1675,1991,-316
1-14,normal,1645,1682,5,804.84,23.08,36.43,854,1348,-494
1-14,normal,24401,24504,5,1701.42,18.63,19.56,1919,2015,-96
1-14,normal,18168,18196,5,1863.07,15.5,20.89,434,585,-151
1-14,normal,3012,3030,5,749.69,13.44,10.5,242,189,53
1-14,normal,10121,10165,5,1205.21,16.18,22.48,712,989,-277
1-14,normal,7131,7200,5,1225.6,11.06,9.67,763,667,96
1-14,normal,14913,14955,5,2711.19,15.0,24.5,630,1029,-399
1-14,normal,15022,15099,5,2078.99,21.19,25.3,1632,1948,-316
1-14,normal,3626,3649,5,544.94,11.83,10.3,272,237,35
1-14,normal,19795,19852,5,3113.68,21.96,11.09,1252,632,620
1-14,normal,3581,3591,5,128.81,13.1,13.7,131,137,-6
1-14,normal,20425,20467,5,2156.28,8.43,17.69,354,743,-389
1-14,normal,20489,20514,5,1437.8,13.44,26.2,336,655,-319
1-14,normal,20594,20618,5,1713.66,23.58,13.04,566,313,253
1-14,normal,21708,21758,5,1072.35,19.12,13.94,956,697,259
1-14,normal,21774,21834,5,1619.86,9.77,30.68,586,1841,-1255
1-14,normal,21867,21953,5,2382.32,13.63,14.73,1172,1267,-95
1-14,normal,3234,3299,5,846.57,10.05,14.75,653,959,-306
1-14,normal,3046,3078,5,909.24,18.66,22.19,597,710,-113
1-14,normal,2969,3000,5,682.07,18.06,27.0,560,837,-277
1-14,normal,500,519,5,921.1,24.37,20.26,463,385,78
1-22_2nd,bite,680,720,1,390.11,19.7,24.08,788,963,-175
