FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior,Fish0_moving_distance,Fish1_moving_distance,Fish0_moving_direction,Fish1_moving_direction
11883,454,827,379,865,0,22.2,25.5,0,0
11884,457,849,356,876,0,15.03,0.0,0,0
11885,472,850,356,876,0,14.0,0.0,0,0
11886,486,850,356,876,0,10.0,0.0,0,0
11887,496,850,356,876,0,11.05,27.02,0,0
11888,507,849,373,855,0,18.11,24.84,0,0
11889,525,847,389,836,0,22.2,22.2,0,0
11890,547,844,402,818,0,22.36,7.81,0,0
11891,569,840,396,823,0,18.68,3.61,0,0
11892,587,835,393,825,0,13.0,6.0,0,0
11893,599,830,387,825,0,13.42,9.85,0,0
11894,611,824,378,821,0,14.42,15.26,0,0
11895,623,816,365,813,0,20.25,12.21,0,0
11896,640,805,355,806,0,22.36,10.82,0,0
11897,660,795,349,797,0,19.31,8.25,0,0
11898,678,788,347,789,0,17.26,13.93,0,0
11899,695,785,342,776,0,16.03,13.42,0,0
11900,711,784,336,764,0,15.03,8.25,0,0
11901,726,785,334,756,0,14.32,8.06,0,0
11902,740,788,342,755,0,10.77,24.04,0,0
11903,750,792,365,762,0,9.85,32.76,0,0
11904,759,796,397,769,0,6.32,34.53,0,0
11905,765,798,431,775,0,12.37,28.28,0,0
11906,777,801,459,779,0,14.32,24.19,0,0
11907,791,804,483,782,0,15.81,20.22,0,0
11908,806,809,503,785,0,14.42,18.25,0,0
11909,818,817,521,788,0,13.6,14.32,0,0
11910,826,828,535,791,0,10.77,16.03,0,0
11911,830,838,551,792,0,6.0,17.03,0,0
11912,830,844,568,791,0,1.41,20.22,0,0
11913,829,843,588,788,0,5.0,19.24,0,0
11914,825,840,607,785,0,9.22,18.25,0,0
11915,818,834,625,782,0,15.13,18.25,0,0
11916,803,832,643,779,0,16.0,19.24,0,0
11917,787,832,662,776,0,18.68,18.03,0,0
11918,769,837,680,775,0,8.06,17.0,0,0
11919,761,838,697,775,0,9.43,14.04,0,0
11920,753,843,711,776,0,22.02,11.7,0,0
11921,752,821,700,780,0,19.0,11.7,0,0
11922,752,802,689,784,0,23.35,12.65,0,0
11923,756,779,677,788,0,1.41,6.08,0,0
11924,757,780,683,789,0,4.47,2.24,0,0
11925,761,778,685,790,0,7.21,0.0,0,0
11926,765,772,685,790,0,7.81,0.0,0,0
11927,770,766,685,790,0,26.63,0.0,0,0
11928,748,751,685,790,0,20.59,0.0,0,0
11929,730,741,685,790,0,11.18,0.0,0,0
11930,720,736,685,790,0,13.42,0.0,0,0
11931,732,742,685,790,0,15.52,0.0,0,0
11932,747,746,685,790,0,11.4,0.0,0,0
11933,758,743,685,790,0,6.4,0.0,0,0
11934,762,738,685,790,0,20.62,21.84,0,0
11935,742,733,691,769,0,42.11,23.85,0,0
11936,700,730,678,749,0,56.01,38.47,0,0
11937,644,731,644,731,0,54.33,54.33,0,0
11938,590,737,590,737,0,46.69,42.94,0,0
11939,544,745,628,757,0,35.17,56.32,0,0
11940,510,754,682,773,0,26.93,64.13,0,0
