BehaviorType,StartFrame,EndFrame,DTW_distance,avg_velocity_fish0,avg_velocity_fish1
display,11730,11767,558.4,9.3,12.41
display,11520,11562,1080.04,15.29,11.67
display,12555,12617,861.38,10.06,16.69
display,6479,6500,403.94,7.0,10.81
display,4254,4286,1129.07,15.88,9.34
display,6160,6260,1422.78,18.73,16.4
display,3321,3388,1151.36,5.78,7.73
display,3530,3555,950.2,16.32,9.84
display,6360,6470,881.66,12.51,12.84
display,3783,3793,569.69,10.5,13.3
display,3858,3902,785.85,12.23,15.05
display,2229,2264,568.08,13.17,30.09
display,4033,4102,920.46,21.93,12.55
display,4327,4378,705.9,9.39,12.88
display,4398,4446,787.71,8.73,15.15
display,3999,4010,265.53,11.55,15.55
display,4584,4605,430.99,17.67,9.0
display,4655,4662,444.0,14.43,11.29
display,5025,5041,579.54,8.75,18.81
display,5045,5056,564.82,13.36,11.45
display,5148,5158,699.61,11.7,14.1
display,5173,5181,568.28,18.75,17.75
display,5610,5638,397.3,9.89,17.39
display,4510,4540,706.4,28.0,17.13
display,2265,2404,1225.58,23.82,14.82
normal,1130,1165,3377.62,38.2,44.97
normal,1178,1354,2244.5,40.63,41.36
normal,584,690,629.47,15.8,18.78
normal,1381,1388,1119.01,28.71,45.57
normal,1645,1682,804.84,23.08,36.43
normal,2089,2116,751.41,23.41,11.37
normal,2177,2221,786.79,24.77,15.55
normal,10223,10275,1089.71,9.85,13.5
normal,2969,3000,682.07,18.06,27.0
normal,3012,3030,749.69,13.44,10.5
normal,3046,3078,909.24,18.66,22.19
normal,3234,3299,846.57,10.05,14.75
normal,3581,3591,128.81,13.1,13.7
normal,10121,10165,1205.21,16.18,22.48
normal,3626,3649,544.94,11.83,10.3
normal,7131,7200,1225.6,11.06,9.67
normal,2605,2644,609.11,11.41,18.03
normal,500,519,921.1,24.37,20.26
