VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,chase,4447,4481,1,1155.72,26.41,36.41,1.0,5.39,71.45,229.87,871.48,1201.5,-330.02,613,30,598,-10,0.5,168.1,0.0,78.74
1-14,chase,3690,3748,1,589.32,27.22,29.8,1.0,1.0,95.46,68.88,1551.58,1698.44,-146.86,945,9,943,233,0.72,174.44,0.0,61.83
1-14,chase,2117,2145,1,1192.58,40.17,25.38,7.62,8.54,89.54,78.41,1084.46,685.32,399.14,734,-47,453,195,0.57,178.38,0.0,72.6
1-14,chase,2519,2555,1,501.46,25.43,25.6,4.47,4.47,88.02,71.02,889.88,896.13,-6.25,463,-23,245,4,0.36,178.02,0.0,96.75
1-14,chase,1959,2086,1,1325.37,31.13,33.96,1.0,1.0,111.57,173.08,3922.45,4278.75,-356.3,-883,-72,-1391,-25,0.65,178.02,0.0,67.73
1-14,chase,3957,3998,1,388.91,21.1,22.7,3.0,5.39,69.12,103.41,843.88,908.14,-64.26,-36,-241,151,-135,0.73,179.19,5.85,64.72
1-14,chase,4011,4028,1,502.29,24.3,27.74,4.47,3.0,58.05,63.69,388.77,443.82,-55.05,345,150,239,-7,0.65,168.78,0.0,60.36
1-14,chase,1683,1832,1,1157.88,29.17,34.74,3.61,0.0,120.83,105.34,4317.56,5142.09,-824.53,-787,23,-1201,33,0.71,179.19,0.81,59.47
1-14,chase,15136,15162,1,562.61,29.03,22.51,14.0,4.12,76.92,72.01,725.77,562.76,163.01,-674,25,-399,33,0.88,168.58,0.0,33.59
1-14,chase,2562,2604,1,262.27,29.24,31.36,2.24,2.24,126.1,110.22,1198.8,1285.74,-86.94,288,-174,224,-186,0.36,173.99,0.0,57.7
1-14,display,12209,12240,2,1133.14,15.22,14.6,5.1,2.24,38.63,30.89,456.57,437.99,18.58,402,-54,-189,-35,0.26,179.19,26.95,132.28
1-14,display,12367,12390,2,627.84,16.74,32.44,2.0,7.28,40.5,72.25,368.28,713.68,-345.4,-23,-98,-398,-95,0.26,178.38,0.0,107.86
1-14,display,12396,12450,2,1360.38,10.49,16.44,1.0,1.0,43.57,47.07,555.86,871.24,-315.38,259,44,-65,23,0.43,180.0,5.73,94.14
1-14,display,23465,23515,2,614.53,15.92,12.38,2.0,3.61,66.01,73.03,780.08,606.63,173.45,-7,-47,-64,-16,0.26,179.19,0.0,111.89
1-14,display,12555,12617,2,867.49,12.42,19.1,0.0,1.0,63.13,61.03,757.41,1165.04,-407.63,172,23,6,0,0.52,178.19,0.0,83.68
1-14,display,14141,14210,2,912.69,14.39,18.6,1.0,0.0,65.86,81.99,978.36,1264.75,-286.39,148,-35,-228,25,0.49,178.19,0.0,86.28
1-14,display,22230,22280,2,911.79,10.78,10.06,1.0,0.0,37.12,49.66,528.15,492.72,35.43,131,104,-218,93,0.48,180.0,0.0,87.26
1-14,display,12860,12887,2,480.57,23.08,21.22,6.71,2.83,62.13,70.46,600.04,551.73,48.31,-79,-54,-75,11,0.26,180.0,0.0,103.22
1-14,display,20638,20701,2,1271.87,9.06,9.36,1.0,1.0,26.17,24.74,561.92,580.14,-18.22,-92,135,158,-52,0.33,178.6,2.43,108.03
1-14,display,20311,20357,2,968.12,23.23,22.86,0.0,2.0,101.79,134.09,1045.31,1028.6,16.71,513,-154,-50,58,0.5,176.2,2.14,87.9
1-14,display,18341,18372,2,513.82,10.25,15.7,0.0,1.0,55.66,98.86,307.56,471.14,-163.58,-139,-30,108,69,0.35,174.04,0.0,85.33
1-14,display,13185,13300,2,1445.39,13.75,15.97,0.0,1.0,79.12,106.51,1566.98,1820.06,-253.08,-3,-98,507,80,0.5,180.0,0.0,60.82
1-14,display,11730,11767,2,543.07,14.54,20.07,1.0,1.41,81.39,152.08,523.49,722.4,-198.91,22,56,-42,43,0.19,178.85,0.0,93.85
1-14,display,15864,15920,2,733.98,21.43,21.87,5.0,0.0,54.59,96.8,1178.43,1202.75,-24.32,526,-80,-1,-50,0.52,176.97,0.0,66.37
1-14,display,15205,15225,2,609.5,13.05,21.29,7.21,0.0,26.31,43.66,247.87,404.47,-156.6,-160,17,165,43,0.3,178.38,4.36,127.26
1-14,display,24754,24790,2,600.75,14.3,19.32,5.1,5.0,63.15,47.01,500.54,676.35,-175.81,-116,123,-40,54,0.19,167.82,0.0,116.82
1-14,display,24997,25018,2,876.1,22.46,14.31,0.0,1.0,41.79,28.64,449.13,286.29,162.84,-171,161,87,-4,0.1,170.23,42.71,131.97
1-14,display,19865,19918,2,968.27,11.48,15.16,0.0,0.0,97.08,96.05,596.71,788.23,-191.52,-161,157,160,-52,0.38,180.0,30.51,107.82
1-14,display,27096,27150,2,1783.46,9.86,17.94,0.0,1.0,49.09,147.34,522.56,950.65,-428.09,247,1,-210,-14,0.26,177.57,1.15,113.03
1-14,display,4398,4446,2,782.19,11.08,15.74,1.0,1.0,32.31,60.08,520.83,739.95,-219.12,-365,-83,-313,-75,0.65,160.72,3.24,71.73
1-14,display,11520,11562,2,1154.61,15.47,12.2,5.83,2.24,40.05,32.56,634.4,500.31,134.09,-61,-42,338,-30,0.19,179.19,20.23,134.9
1-14,display,3783,3793,2,569.12,11.09,15.53,5.66,3.16,18.25,56.09,99.8,139.79,-39.99,-17,-31,-26,-35,0.4,159.23,56.54,114.63
1-14,display,3858,3902,2,806.58,14.42,15.73,1.0,5.0,63.63,27.17,620.07,676.43,-56.36,392,-193,160,-139,0.55,167.47,0.0,78.49
1-14,display,3999,4010,2,234.18,14.04,18.46,4.12,0.0,25.02,53.81,140.37,184.56,-44.19,16,-18,59,46,0.36,176.86,19.51,113.96
1-14,display,4033,4102,2,900.59,22.7,13.74,2.24,2.0,51.0,34.93,1543.51,934.32,609.19,264,1,440,-14,0.78,179.19,0.0,55.03
1-14,display,4254,4286,2,1146.25,17.69,9.69,1.0,1.41,41.01,27.89,548.29,300.43,247.86,-86,125,-280,-5,0.47,176.66,7.69,90.05
1-14,display,4327,4378,2,685.52,13.21,14.76,0.0,0.0,57.2,60.73,660.38,737.79,-77.41,-235,108,57,-7,0.29,180.0,0.0,99.97
1-14,display,3321,3388,2,1142.22,6.58,9.73,0.0,0.0,22.47,34.01,434.42,641.89,-207.47,55,85,285,-99,0.51,178.85,0.0,85.13
1-14,display,2229,2264,2,515.23,22.22,35.24,0.0,2.0,90.25,102.4,755.32,1198.29,-442.97,51,62,-166,1,0.26,178.19,0.0,104.84
1-14,display,4510,4540,2,741.44,31.34,17.62,3.16,4.47,58.6,37.34,909.0,510.85,398.15,-705,-150,-332,-126,0.77,150.95,0.0,58.29
1-14,display,4584,4605,2,468.48,18.39,9.43,2.0,2.24,49.04,26.02,367.77,188.69,179.08,-87,113,-174,-22,0.67,157.44,1.62,61.6
1-14,display,4655,4662,2,434.91,14.38,10.36,7.07,1.41,23.02,18.0,86.29,62.19,24.1,-65,25,53,-17,0.0,177.08,90.0,150.61
