VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,display,4584,4605,2,468.48,18.39,9.43,2.0,2.24,49.04,26.02,367.77,188.69,179.08,-87,113,-174,-22,0.67,157.44,1.62,61.6
1-14,display,5025,5041,2,665.94,11.19,20.31,0.0,7.21,66.48,37.85,167.78,304.65,-136.87,-150,1,-38,72,0.5,177.86,0.0,75.62
1-14,display,5173,5181,2,541.04,18.56,18.68,7.81,12.65,53.15,28.32,129.91,130.75,-0.84,-19,-93,-112,-65,0.75,95.27,10.0,54.58
1-14,display,6160,6260,2,1400.49,20.47,20.77,3.16,0.0,60.22,161.82,2026.66,2056.09,-29.43,394,44,201,243,0.34,180.0,0.0,95.6
1-14,display,8871,8938,2,754.83,9.95,7.77,1.41,0.0,32.14,35.06,656.87,513.09,143.78,-136,115,74,34,0.55,176.86,1.4,75.43
1-14,display,8374,8425,2,654.49,17.49,12.68,0.0,0.0,53.14,45.28,874.35,633.82,240.53,220,30,-118,54,0.12,179.19,49.57,129.2
1-14,display,5610,5638,2,372.97,12.84,19.79,3.16,1.41,75.54,61.07,346.81,534.29,-187.48,225,7,25,-74,0.39,178.02,0.0,105.6
1-14,display,7798,7826,2,757.3,9.94,13.84,1.0,2.24,29.07,34.37,268.4,373.81,-105.41,-144,-66,-247,-37,0.57,180.0,1.4,77.21
1-14,display,6567,6613,2,793.33,17.61,14.69,0.0,2.24,77.1,66.6,792.57,660.99,131.58,38,190,50,19,0.17,178.6,1.98,125.53
1-14,display,6360,6470,2,919.37,13.16,15.48,1.0,1.0,71.87,72.69,1434.68,1687.53,-252.85,104,47,-2,168,0.48,175.64,2.69,89.85
1-14,display,3530,3555,2,1007.58,16.98,11.01,4.24,1.41,33.02,23.09,407.4,264.35,143.05,95,-255,-134,-101,0.28,172.66,4.29,99.89
1-14,normal,25055,25100,3,6123.53,15.61,13.74,2.24,1.0,38.6,39.12,686.98,604.47,82.51,625,-149,-433,160,0.29,179.19,45.0,127.0
1-14,normal,2089,2116,3,696.33,26.54,18.65,7.81,3.0,52.15,73.0,690.02,484.98,205.04,-60,188,160,-48,0.59,174.94,0.0,76.78
1-14,normal,2605,2644,3,596.24,14.13,19.8,3.16,2.0,45.31,73.06,536.88,752.52,-215.64,0,-158,-214,-123,0.46,176.66,0.0,91.52
1-14,normal,25736,25776,3,2925.66,22.38,15.27,6.32,6.08,48.47,35.13,872.93,595.56,277.37,242,222,523,187,0.53,175.64,3.97,72.97
1-14,normal,2177,2221,3,858.19,26.56,16.27,3.61,4.47,75.01,33.6,1142.28,699.4,442.88,-495,-249,-375,-144,0.59,179.19,3.34,92.01
1-14,normal,10223,10275,3,1066.85,10.64,14.55,2.24,3.61,19.24,39.12,542.64,742.15,-199.51,7,8,128,-330,0.17,178.85,8.07,124.57
1-14,normal,1381,1388,3,1006.08,30.58,50.52,22.36,30.68,43.1,69.43,183.49,303.1,-119.61,183,-7,-131,205,0.14,147.33,8.74,104.5
1-14,normal,1178,1354,3,2308.44,46.41,53.16,0.0,0.0,256.86,923.52,8121.06,9302.42,-1181.36,-426,60,-662,20,0.27,180.0,0.0,99.24
1-14,normal,27616,27670,3,2954.55,21.65,10.16,4.12,2.83,45.31,53.46,1147.63,538.37,609.26,-580,226,350,115,0.35,180.0,1.98,95.32
1-14,normal,27911,27957,3,4821.83,7.53,22.64,2.24,9.22,25.02,43.1,338.75,1018.91,-680.16,127,97,-451,-7,0.41,180.0,0.0,99.68
1-14,normal,24505,24537,3,1013.99,13.45,16.19,2.83,4.0,46.53,48.05,416.9,501.74,-84.84,-12,-65,-327,58,0.19,178.19,9.21,135.87
1-14,normal,1130,1165,3,3264.71,45.7,72.94,0.0,2.24,239.41,592.71,1553.64,2480.1,-926.46,987,83,3,91,0.23,179.19,0.0,94.61
1-14,normal,584,690,3,645.52,19.0,23.08,0.0,0.0,113.76,193.0,1994.52,2423.65,-429.13,-69,-109,-148,-190,0.47,180.0,0.0,80.55
1-14,normal,1645,1682,3,835.21,27.0,42.61,5.83,6.08,165.95,209.29,971.88,1533.97,-562.09,677,-286,852,-301,0.7,178.85,0.0,62.89
1-14,normal,24401,24504,3,1670.34,20.49,20.61,0.0,3.16,58.03,75.43,2089.93,2102.66,-12.73,38,54,428,85,0.53,180.0,1.15,87.96
1-14,normal,18168,18196,3,1734.85,15.95,15.86,9.22,3.61,36.06,27.29,430.71,428.12,2.59,423,-39,-192,-42,0.32,178.6,21.64,121.28
1-14,normal,3012,3030,3,692.2,15.25,11.31,3.0,6.32,30.59,23.41,259.19,192.24,66.95,-43,124,125,23,0.78,145.98,2.56,64.41
1-14,normal,10121,10165,3,1289.57,17.31,23.22,5.83,5.66,35.06,47.1,744.19,998.36,-254.17,396,102,154,-3,0.14,180.0,11.68,135.6
1-14,normal,7131,7200,3,1224.02,13.08,10.17,1.0,2.0,72.69,22.14,889.52,691.85,197.67,715,-21,551,9,0.8,168.46,0.0,38.36
1-14,normal,14913,14955,3,2706.46,15.78,25.58,3.61,2.24,28.02,54.92,647.06,1048.6,-401.54,102,39,-473,455,0.6,177.08,0.0,70.25
1-14,normal,15022,15099,3,2075.81,22.3,26.96,2.24,1.0,63.29,81.05,1694.76,2049.0,-354.24,-145,-59,-115,256,0.69,180.0,3.44,71.83
1-14,normal,3626,3649,3,530.55,14.75,12.56,2.0,1.0,54.82,84.72,324.54,276.43,48.11,120,161,-21,-54,0.43,180.0,0.0,74.28
1-14,normal,19795,19852,3,3228.56,22.12,12.01,3.61,1.0,49.04,31.89,1238.84,672.8,566.04,283,-25,-452,250,0.46,176.66,7.02,86.72
1-14,normal,3581,3591,3,146.53,12.31,29.03,0.0,1.0,74.53,112.45,110.81,261.26,-150.45,90,23,55,-7,0.4,150.95,0.0,71.7
1-14,normal,20425,20467,3,2128.77,9.01,18.77,1.41,4.0,20.02,45.69,369.3,769.39,-400.09,309,-14,294,-41,0.52,178.85,0.81,82.48
1-14,normal,20489,20514,3,1413.21,11.25,24.14,3.16,9.85,21.1,57.56,270.06,579.37,-309.31,154,10,-315,219,0.36,179.19,21.33,112.03
1-14,normal,20594,20618,3,1621.08,24.71,13.97,7.62,2.24,48.08,24.08,568.24,321.3,246.94,-532,-100,313,0,0.08,178.38,6.33,144.4
1-14,normal,21708,21758,3,1116.57,20.43,14.5,5.0,2.83,45.01,44.01,1001.04,710.64,290.4,-276,-13,-423,133,0.18,178.6,1.81,125.51
1-14,normal,21774,21834,3,1608.99,11.09,31.82,2.0,1.41,34.23,100.02,654.58,1877.26,-1222.68,-497,16,-63,-118,0.43,180.0,0.81,105.83
1-14,normal,21867,21953,3,2450.07,13.43,15.08,0.0,2.0,33.38,38.63,1141.34,1281.39,-140.05,-122,43,471,-1,0.3,180.0,0.0,113.53
1-14,normal,3234,3299,3,811.93,12.61,16.49,0.0,3.0,87.97,103.16,807.28,1055.17,-247.89,72,49,257,73,0.42,180.0,0.0,82.77
1-14,normal,3046,3078,3,849.04,19.95,23.03,5.0,2.24,34.37,77.08,618.36,713.96,-95.6,498,99,165,236,0.41,178.6,0.0,90.93
1-14,normal,2969,3000,3,729.24,25.51,30.44,6.08,1.0,117.1,105.3,765.25,913.1,-147.85,-473,-21,-517,159,0.42,176.97,0.0,77.7
1-14,normal,500,519,3,875.02,26.63,26.66,12.08,5.0,43.86,103.7,479.38,479.85,-0.47,-390,264,161,-70,0.26,179.19,0.0,103.65
1-22_2nd,bite,15230,15246,0,526.35,33.29,28.73,14.42,9.49,74.63,121.66,499.31,430.9,68.41,-462,105,-365,-54,0.88,143.62,7.11,40.37
1-22_2nd,bite,12520,12540,0,311.75,34.14,28.32,10.63,2.0,99.14,73.39,648.72,538.01,110.71,-254,-264,-313,-100,0.45,166.34,7.99,87.98
1-22_2nd,bite,4277,4323,0,827.85,35.27,27.75,4.0,4.0,113.02,84.53,1587.02,1248.84,338.18,136,-73,-48,-80,0.46,172.93,0.0,42.98
1-22_2nd,bite,16946,16963,0,602.89,38.32,46.0,4.12,13.42,115.0,141.51,613.07,736.05,-122.98,-244,258,60,390,0.53,176.97,0.0,82.88
1-22_2nd,bite,4101,4154,0,852.15,27.97,33.77,1.0,1.0,150.99,143.89,1454.23,1756.01,-301.78,208,-99,196,-3,0.32,178.38,0.0,104.96
1-22_2nd,bite,3882,3933,0,542.2,32.21,35.82,2.0,0.0,147.87,199.22,1610.61,1790.9,-180.29,-49,186,-150,285,0.2,176.2,0.0,83.68
1-22_2nd,bite,735,840,0,828.53,33.9,29.03,1.41,1.41,177.0,128.25,3525.66,3019.2,506.46,-139,85,-294,200,0.3,179.19,0.0,95.47
1-22_2nd,bite,3093,3152,0,540.05,20.47,19.08,0.0,0.0,93.17,132.2,1187.0,1106.61,80.39,202,-53,289,86,0.39,180.0,0.0,84.45
1-22_2nd,chase,16372,16388,1,277.13,38.05,42.78,9.22,20.4,126.57,168.34,570.81,641.74,-70.93,346,10,389,-84,0.25,163.04,0.0,89.06
1-22_2nd,chase,15150,15165,1,2167.57,51.09,23.92,16.64,11.18,77.9,49.52,715.25,334.94,380.31,-571,83,302,32,0.0,176.38,98.15,140.21
1-22_2nd,display,1700,1758,2,964.25,28.01,10.53,3.61,2.83,98.86,32.25,1596.84,600.12,996.72,-245,-8,-185,121,0.57,180.0,6.33,83.36
1-22_2nd,display,1215,1280,2,937.67,13.33,21.61,1.0,2.24,42.43,53.0,853.43,1383.26,-529.83,-290,23,-80,-159,0.45,178.85,2.43,98.13
