VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,display,4584,4605,2,468.12,17.45,8.96,2.83,3.16,34.21,19.42,349.03,179.2,169.83,-85,110,-174,-21,0.67,155.24,2.92,62.44
1-14,display,5025,5041,2,637.26,9.26,19.31,2.83,5.39,28.86,38.64,138.93,289.67,-150.74,-129,5,-46,69,0.38,176.86,6.12,97.36
1-14,display,5173,5181,2,544.72,17.0,19.01,7.62,14.32,40.45,25.5,119.03,133.05,-14.02,-23,-89,-114,-66,0.88,82.59,0.0,47.3
1-14,display,6160,6260,2,1411.69,19.13,16.36,1.0,1.41,52.77,71.84,1894.04,1619.62,274.42,386,44,194,245,0.36,180.0,0.0,105.6
1-14,display,8871,8938,2,756.06,9.14,6.49,0.0,0.0,27.07,31.06,602.98,428.21,174.77,-139,114,79,39,0.6,175.79,0.81,77.29
1-14,display,8374,8425,2,658.33,17.23,12.43,4.0,1.0,41.44,26.87,861.72,621.41,240.31,220,32,-126,54,0.06,176.86,66.8,138.2
1-14,display,5610,5638,2,346.96,10.49,17.78,1.41,2.24,39.0,48.51,283.24,480.07,-196.83,227,6,29,-73,0.32,180.0,36.87,126.65
1-14,display,7798,7826,2,757.81,8.98,11.13,3.16,0.0,25.18,23.02,242.4,300.44,-58.04,-145,-65,-243,-34,0.57,161.57,0.0,64.86
1-14,display,6567,6613,2,821.68,13.82,11.82,2.0,1.0,37.74,41.04,621.87,531.97,89.9,36,191,45,20,0.22,174.81,39.81,133.12
1-14,display,6360,6470,2,920.44,12.67,13.12,0.0,1.0,37.44,53.76,1381.37,1430.04,-48.67,105,46,-3,166,0.45,180.0,0.81,96.53
1-14,display,3530,3555,2,1004.51,16.53,10.48,9.22,2.24,28.84,20.22,396.8,251.42,145.38,96,-253,-138,-99,0.36,162.9,21.44,100.02
1-14,normal,25055,25100,3,6123.79,15.14,13.27,1.41,0.0,33.53,30.27,665.96,583.86,82.1,624,-149,-441,168,0.18,173.72,63.12,136.09
1-14,normal,2089,2116,3,699.94,24.69,11.23,6.71,3.16,42.15,32.02,641.87,291.91,349.96,-51,186,150,-46,0.56,175.2,0.0,78.0
1-14,normal,2605,2644,3,591.92,11.85,17.63,2.24,2.83,36.24,55.33,450.42,669.97,-219.55,-4,-156,-209,-119,0.54,180.0,7.56,90.28
1-14,normal,25736,25776,3,2932.55,21.99,15.06,10.0,4.12,45.19,32.14,857.49,587.17,270.32,244,219,525,190,0.55,174.94,7.11,74.48
1-14,normal,2177,2221,3,842.21,25.35,16.02,4.12,3.0,62.13,29.41,1090.05,688.97,401.08,-494,-242,-377,-152,0.55,178.85,14.05,93.79
1-14,normal,10223,10275,3,1074.49,10.34,14.05,3.16,4.47,17.12,35.06,527.58,716.35,-188.77,6,8,127,-329,0.17,180.0,1.15,124.17
1-14,normal,1381,1388,3,994.78,31.89,47.31,17.26,24.02,50.04,65.05,191.34,283.88,-92.54,191,-7,-138,195,0.29,147.53,7.61,96.84
1-14,normal,1178,1354,3,2204.09,41.13,39.83,2.0,0.0,114.53,445.08,7198.46,6970.23,228.23,-403,54,-696,13,0.32,180.0,0.0,106.43
1-14,normal,27616,27670,3,2952.69,21.24,9.29,5.39,1.0,38.83,48.37,1125.61,492.57,633.04,-579,223,348,115,0.33,176.66,9.46,95.33
1-14,normal,27911,27957,3,4821.69,7.21,22.26,2.24,7.21,21.02,41.19,324.3,1001.62,-677.32,131,99,-448,-8,0.43,180.0,1.62,103.11
1-14,normal,24505,24537,3,1019.62,11.79,15.88,1.41,2.24,24.35,45.89,365.62,492.33,-126.71,-18,-65,-319,55,0.19,180.0,11.1,138.59
1-14,normal,1130,1165,3,3250.6,37.99,46.35,6.0,2.0,99.01,204.48,1291.61,1575.87,-284.26,987,72,-10,107,0.43,176.97,0.0,90.87
1-14,normal,584,690,3,630.78,16.33,19.04,0.0,2.83,62.82,106.04,1714.85,1999.32,-284.47,-86,-96,-122,-180,0.64,180.0,0.0,72.5
1-14,normal,1645,1682,3,809.83,22.18,36.86,7.21,3.61,74.33,109.55,798.44,1327.1,-528.66,660,-277,883,-293,0.78,173.17,2.69,57.73
1-14,normal,24401,24504,3,1683.58,19.01,20.08,1.0,3.61,51.79,58.31,1938.61,2048.27,-109.66,51,55,439,74,0.54,180.0,0.81,85.67
1-14,normal,18168,18196,3,1735.67,15.9,17.54,9.22,2.0,27.2,63.32,429.4,473.68,-44.28,423,-39,-243,-13,0.29,178.19,21.8,120.53
1-14,normal,3012,3030,3,696.09,14.48,10.77,4.12,3.16,25.0,21.19,246.13,183.17,62.96,-43,130,128,22,0.72,152.46,0.0,71.38
1-14,normal,10121,10165,3,1282.65,16.82,22.85,5.83,5.39,32.06,43.05,723.13,982.47,-259.34,397,104,154,-5,0.11,179.19,30.07,138.03
1-14,normal,7131,7200,3,1229.73,11.52,10.03,2.0,2.83,23.35,20.25,783.02,682.35,100.67,716,-20,550,9,0.84,177.08,0.0,33.12
1-14,normal,14913,14955,3,2719.85,15.06,24.93,1.41,6.0,27.07,43.74,617.5,1022.22,-404.72,102,39,-474,454,0.62,162.69,1.98,65.42
1-14,normal,15022,15099,3,2077.44,21.7,26.16,1.41,4.47,61.13,76.66,1649.38,1988.12,-338.74,-145,-59,-114,254,0.65,180.0,0.0,67.32
