VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,display,4584,4605,2,474.4,17.87,9.07,2.0,2.0,49.04,23.02,357.45,181.46,175.99,-83,112,-174,-22,0.67,158.97,0.0,64.86
1-14,display,5025,5041,2,664.43,10.24,19.96,0.0,6.0,56.32,37.85,153.67,299.46,-145.79,-140,3,-38,72,0.5,177.08,6.93,81.43
1-14,display,5173,5181,2,541.42,17.32,18.68,6.0,12.65,53.04,28.32,121.21,130.75,-9.54,-21,-93,-112,-65,1.0,85.81,21.14,51.6
1-14,display,6160,6260,2,1412.02,19.33,17.73,0.0,0.0,60.22,109.66,1914.07,1755.13,158.94,394,44,201,243,0.32,180.0,0.0,97.03
1-14,display,8871,8938,2,756.4,9.51,6.61,0.0,0.0,32.14,35.06,627.73,436.0,191.73,-136,115,83,40,0.54,180.0,1.4,75.5
1-14,display,8374,8425,2,651.79,17.3,12.34,0.0,0.0,53.14,43.38,864.97,617.21,247.76,220,30,-119,54,0.08,180.0,49.57,132.75
1-14,display,5610,5638,2,369.9,10.91,18.87,0.0,0.0,72.03,61.07,294.52,509.45,-214.93,222,3,25,-73,0.21,180.0,11.3,121.97
1-14,display,7798,7826,2,762.67,9.52,11.67,1.0,0.0,29.07,32.39,257.0,315.17,-58.17,-143,-66,-247,-37,0.54,180.0,3.03,73.8
1-14,display,6567,6613,2,845.14,13.76,11.59,0.0,0.0,55.23,64.03,619.09,521.62,97.47,38,190,54,19,0.11,178.6,0.0,126.47
1-14,display,6360,6470,2,922.34,12.85,13.23,0.0,0.0,63.16,58.69,1400.14,1442.15,-42.01,104,47,-2,168,0.45,180.0,0.0,89.54
1-14,display,3530,3555,2,1008.07,16.59,10.56,4.0,1.0,33.02,23.09,398.19,253.47,144.72,95,-255,-139,-100,0.32,172.66,41.99,100.63
1-14,normal,25055,25100,3,6122.6,15.23,13.24,1.0,0.0,38.6,39.12,670.04,582.53,87.51,622,-149,-439,160,0.16,180.0,60.95,136.94
1-14,normal,2089,2116,3,704.8,24.75,11.81,0.0,0.0,52.0,36.69,643.5,307.13,336.37,-37,188,160,-48,0.52,168.1,0.81,80.71
1-14,normal,2605,2644,3,591.93,11.9,18.24,0.0,0.0,45.31,73.0,452.28,692.95,-240.67,0,-158,-214,-123,0.44,176.66,8.35,88.49
1-14,normal,25736,25776,3,2925.06,22.19,15.17,6.32,5.0,48.47,35.13,865.56,591.65,273.91,242,222,523,189,0.5,165.08,3.97,75.06
1-14,normal,2177,2221,3,855.84,25.46,15.78,2.0,4.0,75.01,33.6,1094.82,678.5,416.32,-495,-249,-375,-144,0.59,179.19,3.34,91.11
1-14,normal,10223,10275,3,1069.2,10.52,14.21,2.24,1.0,19.1,39.01,536.6,724.65,-188.05,7,9,128,-328,0.17,180.0,8.07,124.82
1-14,normal,1381,1388,3,995.34,30.57,45.16,22.36,12.0,43.05,69.43,183.42,270.96,-87.54,183,-7,-131,205,0.14,146.01,10.3,101.43
1-14,normal,1178,1354,3,2453.29,41.32,41.54,0.0,0.0,151.0,809.36,7231.78,7269.02,-37.24,-426,55,-675,13,0.23,180.0,0.0,106.95
1-14,normal,27616,27670,3,2955.69,21.54,9.26,4.0,0.0,44.91,53.46,1141.45,490.65,650.8,-580,226,350,115,0.37,180.0,1.98,94.7
1-14,normal,27911,27957,3,4820.57,7.38,22.38,2.0,9.22,25.0,43.1,332.29,1007.16,-674.87,127,96,-451,-7,0.43,180.0,5.5,103.11
1-14,normal,24505,24537,3,1008.85,11.97,15.72,2.0,0.0,43.32,48.05,371.17,487.17,-116.0,-18,-65,-322,58,0.16,180.0,8.15,134.6
1-14,normal,1130,1165,3,3234.23,36.02,41.25,0.0,0.0,135.45,166.05,1224.76,1402.51,-177.75,987,66,1,112,0.26,180.0,0.0,98.49
1-14,normal,584,690,3,650.95,16.42,20.27,0.0,0.0,113.76,193.0,1723.89,2128.08,-404.19,-89,-95,-144,-190,0.49,180.0,0.0,76.31
1-14,normal,1645,1682,3,822.54,21.59,37.35,3.61,1.0,76.94,153.39,777.38,1344.6,-567.22,652,-280,855,-301,0.73,180.0,1.81,60.41
1-14,normal,24401,24504,3,1680.2,19.21,20.21,0.0,1.0,58.03,75.43,1959.33,2060.91,-101.58,43,53,428,85,0.5,180.0,1.15,87.81
1-14,normal,18168,18196,3,1734.63,15.93,15.62,9.06,1.0,36.06,27.29,430.06,421.73,8.33,423,-39,-192,-36,0.29,180.0,3.34,119.95
1-14,normal,3012,3030,3,696.05,14.47,10.78,2.24,3.0,30.59,23.41,245.91,183.2,62.71,-43,124,125,23,0.78,180.0,2.56,72.94
1-14,normal,10121,10165,3,1292.83,16.98,22.98,5.83,4.0,35.0,47.0,730.15,988.08,-257.93,396,102,154,-3,0.11,180.0,27.9,139.1
1-14,normal,7131,7200,3,1231.8,10.84,10.07,0.0,2.0,26.0,22.14,736.93,684.68,52.25,715,-21,551,9,0.81,145.98,0.0,35.3
1-14,normal,14913,14955,3,2710.88,15.25,25.32,1.0,1.0,28.02,54.59,625.06,1038.32,-413.26,102,39,-473,455,0.67,180.0,0.81,66.72
1-14,normal,15022,15099,3,2072.52,21.94,26.04,2.0,1.0,63.29,81.05,1667.59,1978.99,-311.4,-145,-59,-115,256,0.62,180.0,0.0,68.49
1-14,normal,3626,3649,3,528.9,12.26,10.79,1.0,0.0,42.43,80.4,269.68,237.46,32.22,120,161,-21,-54,0.35,180.0,0.0,86.8
